customer_id,total_revenue,revenue_share,cumulative_revenue_share
C0153,85877020,0.33746883810401673,0.33746883810401673
C0483,85183900,0.334745101287501,0.6722139393915177
C0288,84094790,0.3304652521932094,1.002679191584727
C0495,82914040,0.32582528761838697,1.328504479203114
C0420,82700390,0.3249857124065209,1.653490191609635
C0240,81776260,0.3213541812081041,1.974844372817739
C0207,79795630,0.313570947639753,2.288415320457492
C0342,78469470,0.30835956892237293,2.5967748893798652
C0359,78412380,0.30813522373704444,2.9049101131169097
C0466,78342990,0.30786254354068876,3.2127726566575987
C0475,76825820,0.3019005574691382,3.514673214126737
C0178,76367620,0.30009998006648425,3.8147731941932213
C0046,76069120,0.2989269718720447,4.113700166065266
C0206,75741580,0.29763984589547277,4.411340011960739
C0254,75547750,0.29687815685584723,4.708218168816586
C0110,74097790,0.291180284287641,4.999398453104227
C0083,74075280,0.2910918272877856,5.290490280392013
C0490,73710890,0.28965989276191684,5.58015017315393
C0200,73304770,0.28806397286936813,5.868214146023298
C0291,73179030,0.287569855447697,6.1557840014709955
C0462,72302020,0.28412349056794683,6.439907492038943
C0134,71908050,0.28257531623507126,6.722482808274014
C0304,71638560,0.2815163079324933,7.003999116206508
C0380,71455250,0.28079595908116095,7.2847950752876685
C0371,71366470,0.2804470824731129,7.565242157760782
C0241,71234710,0.27992930840376834,7.84517146616455
C0084,71147780,0.2795877016957528,8.124759167860303
C0107,70691460,0.2777945120834022,8.402553679943704
C0468,70116180,0.2755338482505808,8.678087528194284
C0421,69154590,0.2717551114006943,8.949842639594978
C0294,69115310,0.27160075373946285,9.221443393334441
C0142,68942040,0.2709198588320909,9.492363252166532
C0307,68834490,0.27049722221128025,9.762860474377813
C0070,68783440,0.2702966122671391,10.033157086644952
C0076,68416560,0.2688548928487941,10.302011979493745
C0440,67904760,0.26684368482898113,10.568855664322726
C0005,67256610,0.2642966655283916,10.833152329851117
C0197,66821570,0.26258709941479363,11.095739429265912
C0403,66810710,0.2625444231367648,11.358283852402677
C0394,66611310,0.26176084580352776,11.620044698206204
C0201,66387120,0.26087985180985473,11.880924550016058
C0435,66153460,0.25996164378736647,12.140886193803425
C0049,66038070,0.25950819850912066,12.400394392312545
C0476,65951870,0.25916946046436123,12.659563852776907
